SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_date_reference,mean_sentiment,positive_sentiment_ratio,negative_sentiment_ratio,mention_count
22023,1630162,22301031,"MAR 24, 2024",MIN vs. GSW,W,38,7,18,0.389,4,8,0.5,5,8,0.625,0,6,6,8,0,0,2,1,23,-9,1,2024-03-24,0.0,0.0,0.0,0.0
22023,1630162,22301014,"MAR 22, 2024",MIN vs. CLE,W,35,6,17,0.353,1,1,1.0,3,4,0.75,2,11,13,5,0,0,3,1,16,12,1,2024-03-22,0.0,0.0,0.0,0.0
22023,1630162,22300995,"MAR 19, 2024",MIN vs. DEN,L,38,13,26,0.5,3,8,0.375,1,2,0.5,1,7,8,8,2,0,3,1,30,-8,1,2024-03-19,0.0,0.0,0.0,0.0
22023,1630162,22300987,"MAR 18, 2024",MIN @ UTA,W,38,13,23,0.565,2,8,0.25,4,4,1.0,1,6,7,8,1,2,3,2,32,-1,1,2024-03-18,0.0,0.0,0.0,0.0
22023,1630162,22300974,"MAR 16, 2024",MIN @ UTA,W,35,12,20,0.6,5,7,0.714,2,3,0.667,1,9,10,5,3,3,4,1,31,16,1,2024-03-16,0.0,0.0,0.0,0.0
22023,1630162,22300944,"MAR 12, 2024",MIN @ LAC,W,37,15,29,0.517,2,8,0.25,5,7,0.714,2,6,8,4,1,0,2,3,37,22,1,2024-03-12,0.0,0.0,0.0,0.0
22023,1630162,22300932,"MAR 10, 2024",MIN @ LAL,L,40,10,23,0.435,2,9,0.222,3,4,0.75,1,6,7,7,2,2,3,2,25,-14,1,2024-03-10,0.0,0.0,0.0,0.0
22023,1630162,22300911,"MAR 08, 2024",MIN @ CLE,L,42,7,27,0.259,0,7,0.0,5,5,1.0,1,4,5,3,1,1,5,3,19,-20,1,2024-03-08,0.0,0.0,0.0,0.0
22023,1630162,22300903,"MAR 07, 2024",MIN @ IND,W,39,18,35,0.514,3,7,0.429,5,8,0.625,2,4,6,3,2,2,0,1,44,2,1,2024-03-07,0.0,0.0,0.0,0.0
22023,1630162,22300881,"MAR 04, 2024",MIN vs. POR,W,35,4,10,0.4,1,3,0.333,4,6,0.667,0,4,4,6,1,0,2,2,13,8,1,2024-03-04,0.0,0.0,0.0,0.0
22023,1630162,22300873,"MAR 03, 2024",MIN vs. LAC,L,37,9,20,0.45,3,10,0.3,6,6,1.0,0,5,5,2,3,0,3,1,27,10,1,2024-03-03,0.0,0.0,0.0,0.0
22023,1630162,22300862,"MAR 01, 2024",MIN vs. SAC,L,19,2,11,0.182,1,3,0.333,6,6,1.0,0,2,2,2,0,1,1,0,11,-3,1,2024-03-01,0.0,0.0,0.0,0.0
22023,1630162,22300845,"FEB 28, 2024",MIN vs. MEM,W,40,11,21,0.524,1,6,0.167,11,11,1.0,0,2,2,4,0,1,3,3,34,8,1,2024-02-28,0.0,0.0,0.0,0.0
22023,1630162,22300838,"FEB 27, 2024",MIN vs. SAS,W,33,13,29,0.448,4,10,0.4,4,4,1.0,1,4,5,5,4,1,4,0,34,5,1,2024-02-27,0.0,0.0,0.0,0.0
22023,1630162,22300815,"FEB 24, 2024",MIN vs. BKN,W,38,11,23,0.478,1,3,0.333,6,9,0.667,0,8,8,3,2,1,1,0,29,16,1,2024-02-24,0.0,0.0,0.0,0.0
22023,1630162,22300808,"FEB 23, 2024",MIN vs. MIL,L,38,10,27,0.37,4,12,0.333,4,6,0.667,0,9,9,5,1,0,3,2,28,-16,1,2024-02-23,0.0,0.0,0.0,0.0
22023,1630162,22300791,"FEB 15, 2024",MIN @ POR,W,33,12,21,0.571,3,7,0.429,7,8,0.875,1,5,6,7,2,1,1,1,34,36,1,2024-02-15,0.0,0.0,0.0,0.0
22023,1630162,22300775,"FEB 13, 2024",MIN @ POR,W,34,16,27,0.593,4,8,0.5,5,5,1.0,0,4,4,2,2,1,2,1,41,16,1,2024-02-13,0.0,0.0,0.0,0.0
22023,1630162,22300770,"FEB 12, 2024",MIN @ LAC,W,32,8,18,0.444,1,11,0.091,6,6,1.0,0,7,7,8,1,0,1,2,23,18,1,2024-02-12,0.0,0.0,0.0,0.0
22023,1630162,22300738,"FEB 08, 2024",MIN @ MIL,W,36,9,20,0.45,4,11,0.364,4,6,0.667,0,3,3,9,1,0,0,3,26,16,1,2024-02-08,0.0,0.0,0.0,0.0
22023,1630162,22300723,"FEB 06, 2024",MIN @ CHI,L,44,12,26,0.462,5,9,0.556,9,11,0.818,0,12,12,5,2,1,5,5,38,-4,1,2024-02-06,0.0,0.0,0.0,0.0
22023,1630162,22300709,"FEB 04, 2024",MIN vs. HOU,W,34,11,22,0.5,4,8,0.5,6,8,0.75,1,5,6,1,1,1,4,3,32,27,1,2024-02-04,0.0,0.0,0.0,0.0
22023,1630162,22300694,"FEB 02, 2024",MIN vs. ORL,L,35,9,18,0.5,2,8,0.25,2,3,0.667,0,1,1,5,1,0,3,1,22,6,1,2024-02-02,0.0,0.0,0.0,0.0
22023,1630162,22300680,"JAN 31, 2024",MIN vs. DAL,W,30,3,5,0.6,1,2,0.5,2,2,1.0,0,5,5,5,0,0,2,1,9,18,1,2024-01-31,0.0,0.0,0.0,0.0
22023,1630162,22300664,"JAN 29, 2024",MIN @ OKC,W,40,10,20,0.5,3,5,0.6,4,4,1.0,0,4,4,4,1,0,4,4,27,-1,1,2024-01-29,0.0,0.0,0.0,0.0
22023,1630162,22300649,"JAN 27, 2024",MIN @ SAS,L,38,12,18,0.667,6,8,0.75,2,4,0.5,1,5,6,12,1,0,4,0,32,7,1,2024-01-27,0.0,0.0,0.0,0.0
22023,1630162,22300629,"JAN 25, 2024",MIN @ BKN,W,36,8,23,0.348,3,7,0.429,5,6,0.833,0,1,1,3,1,0,3,3,24,-5,1,2024-01-25,0.0,0.0,0.0,0.0
22023,1630162,22300620,"JAN 24, 2024",MIN @ WAS,W,34,11,28,0.393,3,10,0.3,13,14,0.929,1,2,3,5,1,0,4,4,38,6,1,2024-01-24,0.0,0.0,0.0,0.0
22023,1630162,22300610,"JAN 22, 2024",MIN vs. CHA,L,37,3,11,0.273,1,5,0.2,2,2,1.0,0,5,5,11,0,0,1,1,9,7,1,2024-01-22,0.0,0.0,0.0,0.0
22023,1630162,22300599,"JAN 20, 2024",MIN vs. OKC,L,38,6,10,0.6,1,3,0.333,6,10,0.6,0,5,5,5,0,0,5,2,19,-13,1,2024-01-20,0.0,0.0,0.0,0.0
22023,1630162,22300582,"JAN 18, 2024",MIN vs. MEM,W,34,11,19,0.579,1,6,0.167,5,6,0.833,0,5,5,5,1,0,3,2,28,10,1,2024-01-18,0.0,0.0,0.0,0.0
22023,1630162,22300569,"JAN 17, 2024",MIN @ DET,W,33,10,24,0.417,3,8,0.375,4,4,1.0,0,5,5,8,0,0,3,3,27,5,1,2024-01-17,0.0,0.0,0.0,0.0
22023,1630162,22300553,"JAN 14, 2024",MIN vs. LAC,W,38,10,16,0.625,2,4,0.5,11,12,0.917,1,8,9,6,2,0,5,1,33,13,1,2024-01-14,0.0,0.0,0.0,0.0
22023,1630162,22300538,"JAN 12, 2024",MIN vs. POR,W,27,4,9,0.444,0,3,0.0,1,2,0.5,0,3,3,6,1,1,0,2,9,41,1,2024-01-12,0.0,0.0,0.0,0.0
22023,1630162,22300517,"JAN 10, 2024",MIN @ BOS,L,46,11,25,0.44,3,6,0.5,4,4,1.0,0,6,6,3,0,0,5,1,29,-1,1,2024-01-10,0.0,0.0,0.0,0.0
22023,1630162,22300513,"JAN 09, 2024",MIN @ ORL,W,26,2,7,0.286,0,2,0.0,2,3,0.667,1,3,4,3,0,0,5,3,6,1,1,2024-01-09,0.0,0.0,0.0,0.0
22023,1630162,22300501,"JAN 07, 2024",MIN @ DAL,L,37,14,27,0.519,3,6,0.5,5,7,0.714,5,5,10,3,3,1,2,3,36,-5,1,2024-01-07,0.0,0.0,0.0,0.0
22023,1630162,22300485,"JAN 05, 2024",MIN @ HOU,W,33,8,17,0.471,2,5,0.4,6,6,1.0,0,3,3,5,2,0,5,2,24,14,1,2024-01-05,0.0,0.0,0.0,0.0
22023,1630162,22300471,"JAN 03, 2024",MIN vs. NOP,L,37,11,22,0.5,4,7,0.571,9,10,0.9,2,2,4,5,1,1,6,1,35,-15,1,2024-01-03,0.0,0.0,0.0,0.0
22023,1630162,22300451,"JAN 01, 2024",MIN @ NYK,L,38,11,21,0.524,4,9,0.444,9,10,0.9,0,4,4,2,0,2,4,1,35,2,1,2024-01-01,0.0,0.0,0.0,0.0
